"North","East","WaterSE","Code","Pt.name","VertPrec"
4099756.259,568389.864,2.141,"echo","1200",0.01201
4099756.215,568388.903,2.135,"echo","1201",0.01226
4099756.332,568388.044,2.12,"echo","1202",0.01227
4099756.853,568387.311,2.15,"echo","1203",0.01228
4099757.326,568386.672,2.133,"echo","1204",0.01228
4099757.6,568385.933,2.142,"echo","1205",0.01229
4099758.036,568385.185,2.137,"echo","1206",0.01229
4099758.401,568384.304,2.133,"echo","1207",0.0123
4099758.744,568383.486,2.144,"echo","1208",0.01231
4099759.095,568382.8,2.142,"echo","1209",0.01231
4099759.427,568381.981,2.14,"echo","1210",0.01231
4099761.555,568379.59,2.132,"echo","1213",0.01232
4099761.877,568378.584,2.146,"echo","1214",0.01232
4099762.619,568377.651,2.146,"echo","1215",0.01233
4099763.19,568376.685,2.152,"echo","1216",0.01234
4099763.63,568375.699,2.152,"echo","1217",0.01234
4099764.508,568373.888,2.13,"echo","1219",0.01315
4099765.054,568372.952,2.138,"echo","1220",0.01322
4099765.337,568371.937,2.125,"echo","1221",0.01329
4099765.549,568370.913,2.145,"echo","1222",0.01336
4099765.757,568369.892,2.154,"echo","1223",0.01342
4099766.37,568368.942,2.133,"echo","1224",0.01348
4099766.792,568367.799,2.116,"echo","1225",0.01353
4099767.244,568366.833,2.137,"echo","1226",0.01358
4099767.655,568365.878,2.138,"echo","1227",0.01362
4099768.354,568365.021,2.148,"echo","1228",0.01367
4099768.92,568364.202,2.153,"echo","1229",0.0137
4099769.609,568363.904,2.144,"echo","1230",0.01374
4099770.459,568363.728,2.136,"echo","1231",0.01377
4099771.328,568363.494,2.149,"echo","1232",0.0138
4099771.964,568363.145,2.149,"echo","1233",0.01382
4099772.566,568362.574,2.135,"echo","1234",0.01385
4099773.338,568362.112,2.15,"echo","1235",0.01388
4099773.954,568361.653,2.149,"echo","1236",0.0139
4099774.427,568360.985,2.147,"echo","1237",0.01391
4099775.026,568360.294,2.162,"echo","1238",0.01393
4099775.394,568359.445,2.141,"echo","1239",0.01395
4099775.714,568358.672,2.149,"echo","1240",0.01402
4099776.029,568357.962,2.151,"echo","1241",0.01399
4099776.266,568357.225,2.147,"echo","1242",0.01401
4099776.516,568356.462,2.126,"echo","1243",0.01402
4099776.944,568355.905,2.146,"echo","1244",0.01404
4099777.649,568355.499,2.121,"echo","1245",0.01405
4099778.251,568354.937,2.148,"echo","1246",0.01406
4099778.893,568354.303,2.156,"echo","1247",0.01407
4099779.347,568353.661,2.135,"echo","1248",0.01408
4099779.708,568353.084,2.139,"echo","1249",0.01409
4099780.031,568352.54,2.129,"echo","1250",0.0141
4099780.271,568352.005,2.126,"echo","1251",0.01411
