"Pt.name","North","East","BedSE","WaterSE","Depth","Code","VertPrec"
"3515",4099747.917,568652.325,3.354,2.124,0.96,"echo",0.00811
"3516",4099749.093,568651.537,3.437,2.117,1.05,"echo",0.0081
"3517",4099750.164,568650.872,3.447,2.117,1.06,"echo",0.0081
"3518",4099751.445,568650.286,3.53,2.12,1.14,"echo",0.00809
"3519",4099752.463,568649.676,3.528,2.118,1.14,"echo",0.00808
"3520",4099753.353,568649.156,3.564,2.124,1.17,"echo",0.00808
"3521",4099754.232,568649.048,3.549,2.109,1.17,"echo",0.00807
"3522",4099755.286,568648.683,3.524,2.114,1.14,"echo",0.00806
"3523",4099756.243,568647.87,3.489,2.109,1.11,"echo",0.00818
"3524",4099756.841,568646.829,3.533,2.113,1.15,"echo",0.00806
"3525",4099757.253,568645.546,3.561,2.111,1.18,"echo",0.00806
"3526",4099757.7,568644.475,3.619,2.109,1.24,"echo",0.00806
"3527",4099757.794,568643.373,3.723,2.103,1.35,"echo",0.00805
"3528",4099757.251,568642.583,3.667,2.107,1.29,"echo",0.00805
"3529",4099756.205,568641.98,3.732,2.112,1.35,"echo",0.00805
"3530",4099754.926,568641.77,3.823,2.113,1.44,"echo",0.00805
"3531",4099753.544,568641.85,3.574,2.104,1.2,"echo",0.00812
"3532",4099752.225,568642.326,3.5,2.11,1.12,"echo",0.00804
"3533",4099750.968,568643.074,3.51,2.12,1.12,"echo",0.00804
"3534",4099749.972,568644.1,3.52,2.11,1.14,"echo",0.00815
"3535",4099748.643,568645.023,3.511,2.121,1.12,"echo",0.00803
"3536",4099747.537,568645.596,3.421,2.121,1.03,"echo",0.00802
"3537",4099746.367,568646.49,3.305,2.125,0.91,"echo",0.00804
"3538",4099745.526,568647.828,3.112,2.122,0.72,"echo",0.00802
"3539",4099745.069,568649.351,3.029,2.099,0.66,"echo",0.00802
"3540",4099744.937,568650.931,2.992,2.112,0.61,"echo",0.00804
"3541",4099745.008,568652.437,2.991,2.121,0.6,"echo",0.00802
"3542",4099745.16,568653.911,2.998,2.118,0.61,"echo",0.00802
"3543",4099745.668,568655.244,3.008,2.108,0.63,"echo",0.00812
"3544",4099746.068,568656.759,3.085,2.115,0.7,"echo",0.00801
"3545",4099746.537,568658.053,3.176,2.126,0.78,"echo",0.00801
"3546",4099746.984,568659.181,3.203,2.113,0.82,"echo",0.008
"3547",4099747.385,568660.217,3.244,2.124,0.85,"echo",0.00799
"3548",4099747.714,568661.196,3.198,2.108,0.82,"echo",0.00799
"3549",4099748.005,568662.095,3.251,2.111,0.87,"echo",0.00798
"3550",4099748.075,568663.128,3.292,2.122,0.9,"echo",0.00798
"3551",4099747.971,568664.478,3.293,2.113,0.91,"echo",0.00797
"3552",4099748.212,568665.549,3.39,2.12,1,"echo",0.00797
"3553",4099748.376,568666.673,3.38,2.11,1,"echo",0.00796
"3554",4099748.445,568667.95,3.386,2.116,1,"echo",0.00797
"3555",4099748.398,568668.994,3.391,2.101,1.02,"echo",0.00796
"3556",4099749,568670.285,3.605,2.095,1.24,"echo",0.00796
"3557",4099750.226,568671.347,3.618,2.108,1.24,"echo",0.00797
"3558",4099750.991,568671.965,3.722,2.122,1.33,"echo",0.00797
"3559",4099751.448,568672.759,3.729,2.099,1.36,"echo",0.0081
"3560",4099752.485,568673.004,3.588,2.118,1.2,"echo",0.00797
"3561",4099752.903,568672.037,3.556,2.106,1.18,"echo",0.00797
"3562",4099753.998,568671.27,3.536,2.116,1.15,"echo",0.00797
"3563",4099754.991,568670.31,3.487,2.107,1.11,"echo",0.00796
"3564",4099756.293,568669.639,3.516,2.126,1.12,"echo",0.00805
"3565",4099757.551,568669.039,3.348,2.108,0.97,"echo",0.00797
"3566",4099758.447,568668.257,3.081,2.111,0.7,"echo",0.00796
"3567",4099759.241,568667.384,3.1,2.11,0.72,"echo",0.00796
"3568",4099759.41,568666.415,3.867,2.117,1.48,"echo",0.00796
"3569",4099759.217,568665.686,4.064,2.114,1.68,"echo",0.00795
"3570",4099758.203,568665.032,3.256,2.106,0.88,"echo",0.00795
"3571",4099757.729,568664.334,3.454,2.134,1.05,"echo",0.00818
"3572",4099758.544,568663.794,3.49,2.13,1.09,"echo",0.00803
"3573",4099759.627,568664.409,3.202,2.112,0.82,"echo",0.00796
"3574",4099760.457,568665.617,3.723,2.123,1.33,"echo",0.00797
"3575",4099760.548,568667.103,3.739,2.119,1.35,"echo",0.00796
"3576",4099760.691,568668.6,3.531,2.111,1.15,"echo",0.00795
"3577",4099760.492,568670.167,3.796,2.116,1.41,"echo",0.00795
"3578",4099760.534,568671.774,3.764,2.114,1.38,"echo",0.00807
"3579",4099760.099,568673.477,3.916,2.116,1.53,"echo",0.00794
"3580",4099759.762,568674.909,3.06,2.12,0.67,"echo",0.00794
"3581",4099759.292,568676.454,3.224,2.114,0.84,"echo",0.00793
"3582",4099759.428,568677.977,3.174,2.114,0.79,"echo",0.00793
"3583",4099759.269,568679.804,3.257,2.117,0.87,"echo",0.00793
"3584",4099759.464,568681.33,3.317,2.117,0.93,"echo",0.00793
"3585",4099759.608,568682.791,3.343,2.113,0.96,"echo",0.00792
"3586",4099759.74,568684.406,3.366,2.126,0.97,"echo",0.00792
"3587",4099760.063,568685.69,3.378,2.118,0.99,"echo",0.00791
"3588",4099760.177,568687.314,3.411,2.111,1.03,"echo",0.00802
"3589",4099760.74,568688.658,3.414,2.114,1.03,"echo",0.00791
"3590",4099761.09,568690.383,3.476,2.116,1.09,"echo",0.0079
