"North","East","BedSE","Code","Pt.name","VertPrec"
4099759.063,568673.727,1.86,"topo","390",NA
4099761.174,568673.678,2.236,"topo","391",NA
4099764.436,568673.147,2.388,"topo","392",NA
4099768.235,568672.825,2.314,"topo","393",NA
4099770.091,568673.879,2.207,"topo","394",NA
4099769.505,568676.562,2.201,"topo","395",NA
4099766.437,568676.312,2.4,"topo","396",NA
4099762.713,568677.135,2.262,"topo","397",NA
4099760.185,568679.474,1.962,"topo","398",NA
4099761.151,568682.438,2.02,"topo","399",NA
4099763.39,568681.592,2.25,"topo","400",NA
4099765.94,568680.932,2.361,"topo","401",NA
4099769.397,568681.457,2.264,"topo","402",NA
4099768.078,568683.418,2.32,"topo","403",NA
4099764.787,568683.803,2.241,"topo","404",NA
4099761.929,568684.21,2.051,"topo","405",NA
4099761.44,568686.184,1.829,"topo","406",NA
4099763.92,568686.083,2.172,"topo","407",NA
4099766.67,568685.995,2.255,"topo","408",NA
4099769.538,568686.783,2.304,"topo","409",NA
4099769.019,568689.026,2.309,"topo","410",NA
4099766.171,568690.33,2.17,"topo","411",NA
4099764.052,568691.958,1.888,"topo","412",NA
4099764.824,568693.568,1.942,"topo","413",NA
4099767.332,568693.282,2.171,"topo","414",NA
4099770.953,568694.599,2.381,"topo","415",NA
4099769.469,568696.113,2.203,"topo","416",NA
4099767.088,568697.359,1.969,"topo","417",NA
4099766.775,568699.348,1.85,"topo","418",NA
4099769.3,568699.112,2.175,"topo","419",NA
4099772.593,568700.028,2.36,"topo","420",NA
4099771.852,568701.622,2.192,"topo","421",NA
4099769.56,568702.398,2.05,"topo","422",NA
4099767.755,568703.843,1.739,"topo","423",NA
4099768.422,568705.475,1.814,"topo","424",NA
4099770.149,568704.714,2.067,"topo","425",NA
4099772.317,568704.432,2.226,"topo","426",NA
4099774.03,568705.207,2.195,"topo","427",NA
4099771.443,568706.832,1.988,"topo","428",NA
4099769.303,568708.342,1.849,"topo","429",NA
4099770.33,568710.385,1.903,"topo","430",NA
4099772.698,568709.02,2.045,"topo","431",NA
4099775.343,568707.493,2.076,"topo","432",NA
4099776.859,568709.242,2.023,"topo","433",NA
4099774.485,568711.426,2.082,"topo","434",NA
4099772.952,568712.793,2.184,"topo","435",NA
4099772.168,568713.947,1.75,"topo","436",NA
4099772.747,568715.583,1.827,"topo","437",NA
4099773.575,568714.745,2.207,"topo","438",NA
4099776.471,568713.99,2.116,"topo","439",NA
4099778.296,568712.891,2.042,"topo","440",NA
4099778.562,568710.542,2.203,"topo","441",NA
4099779.823,568713.036,1.971,"topo","443",NA
4099777.728,568714.683,2.123,"topo","444",NA
4099775.858,568716.734,2.207,"topo","445",NA
4099774.595,568718.619,1.921,"topo","446",NA
4099775.788,568720.535,1.98,"topo","447",NA
4099777.5,568719.333,2.193,"topo","448",NA
4099779.588,568717.497,2.178,"topo","449",NA
4099782.512,568717.443,2.13,"topo","450",NA
4099783.424,568719.82,2.158,"topo","451",NA
4099780.797,568720.632,2.201,"topo","452",NA
4099778.149,568722.038,2.121,"topo","453",NA
4099777.723,568723.659,1.971,"topo","454",NA
4099777.943,568725.186,1.968,"topo","455",NA
4099779.33,568724.722,1.998,"topo","456",NA
4099781.185,568723.716,2.193,"topo","457",NA
4099783.533,568722.519,2.187,"topo","458",NA
4099785.698,568721.672,2.146,"topo","459",NA
4099787.115,568720.557,2.085,"topo","460",NA
4099787.72,568723.552,2.145,"topo","461",NA
4099785.723,568725.685,2.238,"topo","462",NA
4099783.848,568728.14,2.114,"topo","463",NA
4099782.01,568730.337,1.986,"topo","464",NA
4099781.645,568732.011,1.842,"topo","465",NA
4099784.117,568731.737,2.049,"topo","466",NA
4099786.825,568730.093,2.205,"topo","467",NA
4099789.663,568728.537,2.29,"topo","468",NA
4099791.624,568726.721,2.13,"topo","469",NA
4099792.208,568724.953,2.001,"topo","470",NA
4099793.977,568727.578,2.189,"topo","471",NA
4099792.136,568730.271,2.31,"topo","472",NA
4099790.354,568733.042,2.228,"topo","473",NA
4099788.631,568736.383,2.053,"topo","474",NA
4099787.945,568738.598,1.838,"topo","475",NA
4099790.336,568739.48,1.984,"topo","476",NA
4099791.971,568736.868,2.17,"topo","477",NA
4099793.634,568734.63,2.299,"topo","478",NA
4099795.598,568732.285,2.308,"topo","479",NA
4099798.217,568730.64,2.143,"topo","480",NA
4099799.927,568730.617,2.124,"topo","481",NA
4099798.908,568733.993,2.301,"topo","482",NA
4099796.973,568737.184,2.29,"topo","483",NA
4099794.918,568740.014,2.113,"topo","484",NA
4099793.686,568742.86,1.902,"topo","485",NA
4099795.048,568744.423,1.8,"topo","486",NA
4099796.636,568742.613,2.078,"topo","487",NA
4099798.664,568740.538,2.202,"topo","488",NA
4099801.05,568737.471,2.315,"topo","489",NA
4099803.337,568734.414,2.115,"topo","490",NA
4099803.722,568731.108,2.068,"topo","491",NA
4099804.411,568734.246,2.097,"topo","493",NA
4099802.642,568737.364,2.287,"topo","494",NA
4099800.543,568740.781,2.23,"topo","495",NA
4099799.039,568744.214,2.033,"topo","496",NA
4099799.429,568746.909,1.897,"topo","497",NA
4099802.133,568745.263,2.072,"topo","498",NA
4099804.741,568743.078,2.21,"topo","499",NA
4099807.07,568741.087,2.241,"topo","500",NA
4099809.313,568739.166,2.141,"topo","501",NA
4099811.852,568738.611,2.137,"topo","502",NA
4099810.662,568741.184,2.169,"topo","503",NA
4099809.545,568743.732,2.209,"topo","504",NA
